numericals__CCAvg,numericals__Income,numericals__Mortgage,categorical__Family_1,categorical__Family_2,categorical__Family_3,categorical__Family_4,categorical__Education_1,categorical__Education_2,categorical__Education_3,categorical__CD Account_0,categorical__CD Account_1,target
-1.0136494600260542,-0.29199086185710904,-0.5919508652751214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
-0.8410133780440492,-0.9571664942043469,-0.5919508652751214,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
1.575891769704018,0.6306721120438983,-0.5919508652751214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
1.5183464090433494,0.7808730612835971,2.90779130334274,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
-1.0711948206867223,-1.2361111142209305,0.4598842127247823,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
-0.7259226567227127,-0.6996791526505773,0.7084997766156687,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
-0.26555977143736653,-0.8713373803530904,0.5363813093065934,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
-0.6683772960620444,-0.29199086185710904,-0.5919508652751214,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
-0.26555977143736653,-1.1073674434440457,-0.5919508652751214,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
0.022167031865974803,-0.8927946588159045,-0.5919508652751214,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
-0.5532865747407079,-1.1931965572953023,0.6893755024702158,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
-1.0136494600260542,-0.013046241840525408,0.3833871161429711,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
0.7702567204546622,2.132681604440887,2.5539922316518635,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.022167031865974803,0.051325593547916964,-0.5919508652751214,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,
-0.6683772960620444,0.9525312889861102,1.0336124370883661,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
-0.38065049275870305,-0.46364908955962203,-0.5919508652751214,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
0.4825299171513209,-0.7640509880390197,-0.5919508652751214,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
0.36743919582998447,0.5663002766554559,-0.5919508652751214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
